date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,on_board
2026-08-17,ATH@KC,ATH,8.5,Under,0.916,0.89,0.026,-2000,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,2.5,Over,0.803,0.778,0.026,-500,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,2.5,Under,0.197,0.222,-0.026,320,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,3.5,Over,0.676,0.667,0.01,-250,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,3.5,Under,0.324,0.333,-0.01,180,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,4.5,Over,0.542,0.553,-0.01,-136,fanduel,5,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,4.5,Under,0.458,0.447,0.01,114,draftkings,5,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,5.5,Over,0.415,0.428,-0.013,120,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,5.5,Under,0.585,0.572,0.013,-154,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,6.5,Over,0.302,0.328,-0.026,187,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,6.5,Under,0.698,0.672,0.026,-250,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,7.5,Over,0.211,0.248,-0.037,280,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,7.5,Under,0.789,0.752,0.037,-400,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,8.5,Over,0.146,0.187,-0.041,400,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATH@KC,KC,8.5,Under,0.854,0.813,0.041,-667,williamhill_us,1,5.21,Expected Lineup,824077,False
2026-08-17,ATL@MIN,ATL,2.5,Over,0.774,0.747,0.027,-400,williamhill_us,1,5.09,Expected Lineup,823668,False
2026-08-17,ATL@MIN,ATL,2.5,Under,0.226,0.253,-0.027,270,williamhill_us,1,5.09,Expected Lineup,823668,False
2026-08-17,ATL@MIN,ATL,3.5,Over,0.651,0.634,0.017,-200,williamhill_us,1,5.09,Expected Lineup,823668,False
2026-08-17,ATL@MIN,ATL,3.5,Under,0.349,0.366,-0.017,160,williamhill_us,1,5.09,Expected Lineup,823668,False
2026-08-17,ATL@MIN,ATL,4.5,Over,0.521,0.528,-0.007,-124,betrivers,5,5.09,Expected Lineup,823668,False
