date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,pay,ev,on_board,actual,settle,units
2026-08-19,CWS@CHC,CHC,6.5,Over,0.313,0.222,0.091,320,williamhill_us,1,5.32,CONF (statsapi),824640,3.2,0.3146,False,0,L,-1.0
2026-08-19,CWS@CHC,CHC,6.5,Under,0.687,0.778,-0.091,-500,williamhill_us,1,5.32,CONF (statsapi),824640,0.2,-0.1756,False,0,W,0.2
2026-08-19,CWS@CHC,CHC,7.5,Over,0.223,0.156,0.067,500,williamhill_us,1,5.32,CONF (statsapi),824640,5.0,0.338,False,0,L,-1.0
2026-08-19,CWS@CHC,CHC,7.5,Under,0.777,0.844,-0.067,-900,williamhill_us,1,5.32,CONF (statsapi),824640,0.1111,-0.1367,False,0,W,0.1111
2026-08-19,CWS@CHC,CHC,8.5,Over,0.154,0.116,0.038,700,williamhill_us,1,5.32,CONF (statsapi),824640,7.0,0.232,False,0,L,-1.0
2026-08-19,CWS@CHC,CHC,8.5,Under,0.846,0.884,-0.038,-2000,williamhill_us,1,5.32,CONF (statsapi),824640,0.05,-0.1117,False,0,W,0.05
2026-08-19,AZ@BOS,AZ,2.5,Over,0.635,0.634,0.001,-200,williamhill_us,1,3.82,Expected Lineup,824722,0.5,-0.0475,False,7,W,0.5
2026-08-19,AZ@BOS,AZ,2.5,Under,0.365,0.366,-0.001,160,williamhill_us,1,3.82,Expected Lineup,824722,1.6,-0.051,False,7,L,-1.0
2026-08-19,AZ@BOS,AZ,3.5,Over,0.483,0.492,-0.009,-104,fanduel,5,3.82,Expected Lineup,824722,0.9615,-0.0526,False,7,W,0.9615
2026-08-19,AZ@BOS,AZ,3.5,Under,0.517,0.508,0.009,-109,betrivers,5,3.82,Expected Lineup,824722,0.9174,-0.0087,False,7,L,-1.0
2026-08-19,AZ@BOS,AZ,4.5,Over,0.352,0.379,-0.028,150,williamhill_us,2,3.82,Expected Lineup,824722,1.5,-0.12,False,7,W,1.5
2026-08-19,AZ@BOS,AZ,4.5,Under,0.648,0.621,0.028,-190,betrivers,2,3.82,Expected Lineup,824722,0.5263,-0.0109,False,7,L,-1.0
2026-08-19,AZ@BOS,AZ,5.5,Over,0.245,0.283,-0.038,240,williamhill_us,2,3.82,Expected Lineup,824722,2.4,-0.167,False,7,W,2.4
2026-08-19,AZ@BOS,AZ,5.5,Under,0.755,0.717,0.038,-305,betrivers,2,3.82,Expected Lineup,824722,0.3279,0.0025,False,7,L,-1.0
2026-08-19,AZ@BOS,AZ,6.5,Over,0.161,0.197,-0.036,375,williamhill_us,1,3.82,Expected Lineup,824722,3.75,-0.2352,False,7,W,3.75
2026-08-19,AZ@BOS,AZ,6.5,Under,0.839,0.803,0.036,-600,williamhill_us,1,3.82,Expected Lineup,824722,0.1667,-0.0212,False,7,L,-1.0
2026-08-19,AZ@BOS,AZ,7.5,Over,0.101,0.145,-0.043,550,williamhill_us,1,3.82,Expected Lineup,824722,5.5,-0.3435,False,7,L,-1.0
2026-08-19,AZ@BOS,AZ,7.5,Under,0.899,0.855,0.043,-1000,williamhill_us,1,3.82,Expected Lineup,824722,0.1,-0.0111,False,7,W,0.1
2026-08-19,AZ@BOS,AZ,8.5,Over,0.062,0.11,-0.048,750,williamhill_us,1,3.82,Expected Lineup,824722,7.5,-0.473,False,7,L,-1.0
2026-08-19,AZ@BOS,AZ,8.5,Under,0.938,0.89,0.048,-2000,williamhill_us,1,3.82,Expected Lineup,824722,0.05,-0.0151,False,7,W,0.05
2026-08-19,AZ@BOS,BOS,2.5,Over,0.688,0.723,-0.036,-333,williamhill_us,1,4.09,Expected Lineup,824722,0.3003,-0.1054,False,6,W,0.3003
2026-08-19,AZ@BOS,BOS,2.5,Under,0.312,0.277,0.036,240,williamhill_us,1,4.09,Expected Lineup,824722,2.4,0.0608,False,6,L,-1.0
2026-08-19,AZ@BOS,BOS,3.5,Over,0.534,0.59,-0.057,-165,betrivers,2,4.09,Expected Lineup,824722,0.6061,-0.1424,False,6,W,0.6061
2026-08-19,AZ@BOS,BOS,3.5,Under,0.466,0.41,0.057,130,williamhill_us,2,4.09,Expected Lineup,824722,1.3,0.0718,False,6,L,-1.0
